id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
pDIsEZsalAo,7150185,199384.0,2186.0,0,6910.0
x5-GweOYXtk,327698,7696.0,88.0,0,332.0
Lc4SHa-O4T0,1323814,63091.0,614.0,0,2457.0
jYBjcEVTSB8,280881,14103.0,125.0,0,712.0
69Vpk3VKXBE,1477950,28413.0,993.0,0,887.0
BdSnr_P4HzY,359129,15567.0,258.0,0,1464.0
_SACMBFrZO4,843564,12143.0,403.0,0,535.0
Av4NhUWQ-24,1579118,33045.0,421.0,0,
EpxyGCVEpMs,2177488,80658.0,812.0,0,3918.0
xIU60H4BfeI,122911,10157.0,63.0,0,555.0
6W79YK-LIa0,30805,1197.0,11.0,0,136.0
EzqIFVlRrMQ,676282,16679.0,248.0,0,848.0
rv1Mz5NMlRQ,1692387,89959.0,1217.0,0,3163.0
E-XbdK1bGpc,17321,1128.0,8.0,0,98.0
C8v-lPNwEwE,157926,6964.0,85.0,0,146.0
vA-rXz_I1vs,262404,8733.0,183.0,0,309.0
EO2q-OfToNE,468644,8353.0,528.0,0,441.0
E-sDui4fcsc,451191,13384.0,183.0,0,919.0
CtHo29Nx1c4,29297,581.0,17.0,0,64.0
7_ay-K_Xy80,9377,311.0,6.0,0,71.0
PNfsLB4THNk,67261,6406.0,37.0,0,199.0
21eA9UwijBc,117004,3009.0,156.0,0,136.0
w_lXyCTcAAU,1065899,42653.0,407.0,0,1521.0
iuUc83K_w8U,6151,325.0,4.0,0,75.0
ZOtLOpYHgCE,52035,785.0,32.0,0,36.0
YGpv9BT1LCo,19613,476.0,44.0,0,74.0
rGXi26QZqX8,13603,277.0,68.0,0,83.0
cOkFKrVR9To,100420,5760.0,32.0,0,446.0
Lo2Km8K06fU,440734,17285.0,207.0,0,684.0
AeEGRj6DtSU,38183,1329.0,29.0,0,102.0
LABc3xWqD-M,113392,6020.0,88.0,0,238.0
_4DxjDZnt2c,227322,8098.0,75.0,0,525.0
op0SJrtzA1E,362,91.0,1.0,0,13.0
sWhHWGZBZvM,88453,5113.0,39.0,0,233.0
5SsZAdkYuqc,12501,1126.0,20.0,0,92.0
J2jNu-olXOY,15364,1656.0,1.0,0,141.0
wX_7qdyKo_c,117546,6736.0,41.0,0,486.0
uGcz_I5Ltz0,3879283,81300.0,2032.0,0,2587.0
pqcwGikgWJQ,900254,26187.0,1364.0,0,1159.0
feTWYHUu1f0,2400,82.0,0.0,0,40.0
FjSIUi1P8d0,669856,14262.0,379.0,0,711.0
54_CFQTXZpM,1171648,17627.0,441.0,0,1347.0
