id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
pDIsEZsalAo,7152657,199462.0,2186.0,0,6910.0
x5-GweOYXtk,328408,7718.0,88.0,0,332.0
Lc4SHa-O4T0,1325373,63157.0,615.0,0,2460.0
jYBjcEVTSB8,281197,14113.0,126.0,0,712.0
69Vpk3VKXBE,1479115,28440.0,993.0,0,887.0
BdSnr_P4HzY,359781,15588.0,258.0,0,1464.0
_SACMBFrZO4,843639,12143.0,403.0,0,535.0
EpxyGCVEpMs,2178670,80698.0,812.0,0,3919.0
Av4NhUWQ-24,1579308,33053.0,421.0,0,
xIU60H4BfeI,123101,10161.0,63.0,0,555.0
EzqIFVlRrMQ,676425,16684.0,248.0,0,848.0
6W79YK-LIa0,30917,1199.0,11.0,0,136.0
E-XbdK1bGpc,17396,1127.0,8.0,0,98.0
rv1Mz5NMlRQ,1692651,89974.0,1217.0,0,3163.0
C8v-lPNwEwE,158022,6969.0,85.0,0,146.0
vA-rXz_I1vs,262587,8739.0,183.0,0,309.0
E-sDui4fcsc,451333,13395.0,183.0,0,919.0
op0SJrtzA1E,2985,396.0,5.0,0,28.0
EO2q-OfToNE,468732,8353.0,528.0,0,441.0
7_ay-K_Xy80,9385,311.0,6.0,0,71.0
PNfsLB4THNk,67460,6426.0,37.0,0,199.0
J2jNu-olXOY,16942,1772.0,2.0,0,146.0
CtHo29Nx1c4,29359,580.0,17.0,0,64.0
5SsZAdkYuqc,13633,1192.0,20.0,0,95.0
21eA9UwijBc,117020,3007.0,156.0,0,136.0
2VXR8CajTbo,387201,12266.0,124.0,0,693.0
w_lXyCTcAAU,1066048,42644.0,407.0,0,1522.0
iuUc83K_w8U,6193,325.0,4.0,0,75.0
Aj8YpH0x9Rc,103383,5092.0,79.0,0,584.0
YGpv9BT1LCo,19621,476.0,44.0,0,74.0
rGXi26QZqX8,13606,277.0,68.0,0,83.0
ZOtLOpYHgCE,52121,785.0,32.0,0,36.0
_4DxjDZnt2c,227421,8101.0,75.0,0,528.0
Lo2Km8K06fU,441025,17292.0,207.0,0,684.0
AeEGRj6DtSU,38204,1329.0,29.0,0,102.0
cOkFKrVR9To,100521,5762.0,32.0,0,446.0
LABc3xWqD-M,113510,6023.0,88.0,0,238.0
wX_7qdyKo_c,117625,6734.0,41.0,0,486.0
sWhHWGZBZvM,88547,5119.0,39.0,0,234.0
pqcwGikgWJQ,900429,26201.0,1366.0,0,1158.0
uGcz_I5Ltz0,3879772,81321.0,2032.0,0,2588.0
zl_jaJjG2sc,1525,64.0,0.0,0,26.0
FjSIUi1P8d0,669900,14264.0,380.0,0,711.0
Fu2vKqnrlxE,705164,22430.0,581.0,0,1000.0
XEXJsS-X088,19228,581.0,14.0,0,125.0
4ICwZjBvgpo,60701,2046.0,26.0,0,
54_CFQTXZpM,1171926,17629.0,440.0,0,1347.0
yiRlOeouS2k,728102,34258.0,342.0,0,1125.0
PRbBlU_R9Fs,20351,655.0,36.0,0,33.0
_8bOcdYdaOA,393444,13514.0,84.0,0,1093.0
u1aiey_t3BQ,53249,1621.0,30.0,0,160.0
h-G3WcWIoyw,11158,377.0,3.0,0,83.0
AcFGvGCmRV4,157353,3653.0,428.0,0,214.0
0dFy3DFZ48s,72656,1202.0,17.0,0,
x6tKQJgWUuU,148146,1654.0,100.0,0,132.0
IPL7uG2J2zI,9649,483.0,3.0,0,48.0
ck-KY-a7t78,17769,665.0,15.0,0,57.0
d6h-kHNPdcs,372608,8711.0,528.0,0,399.0
LzDY-fAxu5I,42794,1431.0,16.0,0,215.0
OE8wAmrgNA8,18862,396.0,21.0,0,78.0
F3YR-kw4zCI,3459,212.0,5.0,0,38.0
No130lDMtiE,21047,985.0,23.0,0,98.0
UatkKvST730,41407,1927.0,103.0,0,323.0
WyHRD_ypsNE,48153,1139.0,49.0,0,159.0
vQhST6ckT5Q,159777,4649.0,131.0,0,396.0
UsalRjmkkvs,134123,6631.0,125.0,0,191.0
zbP8w_awJkw,215246,7548.0,58.0,0,619.0
ideVyok_nLs,9172,549.0,5.0,0,44.0
LG97k1f7jsA,15668,834.0,17.0,0,45.0
4_hn3cqgGtA,37121,1740.0,15.0,0,164.0
RQhBtKiaH7E,55295,2886.0,55.0,0,166.0
Cnk8yXqkhMs,116374,4964.0,62.0,0,482.0
eX3CZBCp9HI,866,38.0,2.0,0,5.0
3c-iu9bv45I,9857,572.0,4.0,0,25.0
2AXzP3hs98g,1053302,27307.0,1213.0,0,1453.0
JoWFwWblGns,321202,6441.0,191.0,0,314.0
