,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
pDIsEZsalAo,7134785,198875,2180,0,6924.0
x5-GweOYXtk,323790,7580,89,0,332.0
Lc4SHa-O4T0,1314419,62694,606,0,2443.0
jYBjcEVTSB8,279174,14025,124,0,713.0
69Vpk3VKXBE,1470512,28251,992,0,886.0
BdSnr_P4HzY,354416,15434,251,0,1461.0
_SACMBFrZO4,843151,12134,403,0,537.0
Av4NhUWQ-24,1577823,33010,420,0,
EpxyGCVEpMs,2170666,80372,810,0,3920.0
E-XbdK1bGpc,16755,1090,8,0,97.0
xIU60H4BfeI,121940,10097,63,0,554.0
EzqIFVlRrMQ,675300,16655,248,0,847.0
rv1Mz5NMlRQ,1690825,89913,1216,0,3167.0
vA-rXz_I1vs,261156,8697,181,0,308.0
CtHo29Nx1c4,28861,573,17,0,65.0
E-sDui4fcsc,450222,13358,183,0,924.0
ZOtLOpYHgCE,51409,778,32,0,36.0
6W79YK-LIa0,29805,1172,11,0,133.0
C8v-lPNwEwE,157166,6937,85,0,146.0
EO2q-OfToNE,468202,8349,526,0,441.0
iuUc83K_w8U,5890,320,4,0,75.0
w_lXyCTcAAU,1064866,42590,407,0,1520.0
PNfsLB4THNk,66099,6313,36,0,195.0
7_ay-K_Xy80,9282,310,6,0,71.0
21eA9UwijBc,116893,3003,156,0,136.0
Aj8YpH0x9Rc,103019,5068,79,0,584.0
wX_7qdyKo_c,116942,6710,40,0,486.0
AeEGRj6DtSU,38013,1323,29,0,102.0
rGXi26QZqX8,13560,275,68,0,83.0
2v6qCmJpT_o,611361,2758,261,0,472.0
cOkFKrVR9To,99810,5737,31,0,444.0
LABc3xWqD-M,112424,5976,88,0,237.0
YGpv9BT1LCo,19546,476,44,0,74.0
zl_jaJjG2sc,1489,62,0,0,26.0
XEXJsS-X088,19111,577,14,0,125.0
PASHjrUBHGU,789,34,0,0,34.0
4ICwZjBvgpo,60269,2041,26,0,
E3p0KGp2Leg,1555,63,3,0,34.0
54_CFQTXZpM,1169802,17577,441,0,1351.0
5SsZAdkYuqc,4347,531,6,0,53.0
tcIejj1CdnI,35224,1391,10,0,87.0
qYFoeH6gL-g,54154,1371,23,0,152.0
Fu2vKqnrlxE,700913,22288,581,0,996.0
aBcv9Kw1Mww,213678,3466,93,0,
sWhHWGZBZvM,87919,5080,37,0,231.0
u1aiey_t3BQ,52585,1602,30,0,160.0
feTWYHUu1f0,2379,81,0,0,40.0
yiRlOeouS2k,723707,34095,341,0,1128.0
UsalRjmkkvs,133798,6621,125,0,190.0
_8bOcdYdaOA,392094,13466,82,0,1093.0
PRbBlU_R9Fs,19930,643,36,0,36.0
kPzCib0ssdQ,103252,3867,83,0,322.0
x6tKQJgWUuU,148078,1654,100,0,132.0
AcFGvGCmRV4,157222,3650,428,0,214.0
h-G3WcWIoyw,10992,373,3,0,82.0
ck-KY-a7t78,17032,642,14,0,56.0
7GI7vmcs5l4,778972,29409,293,0,1107.0
IPL7uG2J2zI,9490,479,3,0,48.0
58vvJDEAopo,82905,3004,66,0,203.0
LzDY-fAxu5I,42299,1418,16,0,214.0
RQhBtKiaH7E,55026,2875,55,0,162.0
YLvxrKoa8bw,44157,1671,76,0,70.0
AG1tqoh84G8,1212139,39428,1504,0,1933.0
OE8wAmrgNA8,18787,395,21,0,78.0
zbP8w_awJkw,214561,7532,58,0,615.0
sP6nNxXiYWc,83404,2713,125,0,185.0
y8m49QX8udI,54406,3070,29,0,188.0
ideVyok_nLs,9020,543,5,0,44.0
Cnk8yXqkhMs,116319,4961,62,0,482.0
3c-iu9bv45I,9816,569,4,0,25.0
vQhST6ckT5Q,159696,4647,131,0,396.0
ZUlXZyC6JZs,620814,24008,122,0,1354.0
39aDN8rpSpQ,875471,35246,185,0,1608.0
yOznVVKhttY,16929,923,11,0,60.0
JoWFwWblGns,321082,6439,191,0,314.0
W46Fkk7i21Q,32503,1567,35,0,97.0
2VXR8CajTbo,385763,12223,124,0,692.0
GlpRUrdoiTI,73883,1850,88,0,99.0
NXAQNxl97Fo,5256,225,4,0,51.0
9blQqF14XFk,69133,3023,12,0,224.0
108UATnLc0Q,93931,1712,34,0,226.0
WyHRD_ypsNE,48023,1134,49,0,157.0
LiJ0J-QaFWM,445,23,0,0,19.0
uGcz_I5Ltz0,3876561,81231,2032,0,2583.0
WPg5WN9g5IQ,18215,419,20,0,51.0
e5vevmoV-Vs,56252,3227,27,0,197.0
PbwmZqNt89c,313484,8607,388,0,338.0
JSOByVQTsMY,194346,4705,71,0,256.0
2AXzP3hs98g,1050033,27202,1210,0,1453.0
nSPRt6LAlBE,870,98,1,0,9.0
3FlCFBEbFpc,55022,1890,41,0,
fAVBhULcBnI,2574,126,0,0,26.0
wfwT2AtIlt8,192157,11063,67,0,836.0
NXmlV0cmLCM,8600,93,19,0,11.0
dGqdfb2Qk5g,299865,10546,54,0,711.0
A9Onl9hi65M,2499,106,0,0,65.0
Av6RF9x8FAo,7000,200,9,0,44.0
CcsdCwL3K_8,112455,5409,35,0,288.0
MqZN9UlAZk0,6703,287,17,0,39.0
0dFy3DFZ48s,72584,1202,17,0,
974viQjU1g4,57124,1425,13,0,97.0
r4_PtaKFEV4,13754,1056,11,0,117.0
3r77R_siKYY,560,29,0,0,23.0
eX3CZBCp9HI,854,38,2,0,5.0
-Q8oG8JRStE,28789,1611,20,0,137.0
rAdLN8ruohw,7235,212,7,0,37.0
pEUPlrZx3J0,15195,754,11,0,51.0
ht0Fnfkl7Qk,134608,2733,133,0,
DzV5msnrmFE,904156,18667,432,0,945.0
wDDwuRZZBCA,165999,4055,207,0,242.0
AVvfnmN5kC8,27771,762,38,0,98.0
EqvcDNheMHY,4553,219,1,0,36.0
bDfEUO95aRM,11333,290,15,0,31.0
FG-h-u3PCoY,17443,705,11,0,51.0
TJoZEsZtrc0,66298,4684,25,0,311.0
_sDftXy--yE,6380,454,6,0,50.0
UatkKvST730,41147,1919,102,0,321.0
7ulVC300jgY,74,6,0,0,0.0
GFaevCSA4VY,8517,322,4,0,33.0
UjUl759jmJA,551869,23307,440,0,1071.0
x4XkQtpyWxM,99558,431,30,0,64.0
M_E5rNgYmW4,14852,594,9,0,40.0
n_choA50wME,125965,5481,40,0,615.0
0yFMDhx0kRE,70346,1366,49,0,0.0
ylwDBhdv-CY,190650,4175,67,0,
SIYVjfdzP_Q,157927,3310,277,0,169.0
2XgAHx_IubY,2324,113,1,0,22.0
hXBpU6sxZ2U,150559,4551,54,0,327.0
XOUJvcM70xY,9788,521,6,0,25.0
5QGHieX0aLA,14958,776,25,0,59.0
9cbUxCL8feQ,15058,44,1,0,18.0
KTu0N16H9jg,457943,7532,902,0,345.0
DC3ON3Q2wr8,117748,1111,55,0,72.0
uKwWTAc2fiE,35978,1461,45,0,242.0
Wtnex-6rjWE,122326,4551,23,0,220.0
LMaJoPsh_dI,316726,6261,183,0,377.0
3HZFEX6tg1c,23413,1123,38,0,47.0
pRn_iCDwEP8,796646,17922,377,0,699.0
NZWzNqHVlMA,26294,940,36,0,91.0
kGnQsotpAm8,192397,966,41,0,91.0
HknfkUdXLHI,5552,94,12,0,11.0
9wK0sNlUeSg,106505,5402,91,0,209.0
uoiZWi5e_0c,1672,188,1,0,32.0
pqcwGikgWJQ,899233,26163,1364,0,1158.0
LFcMHBRCR_k,52309,2829,32,0,119.0
FjSIUi1P8d0,669551,14260,379,0,711.0
o2IRx_4Q8aw,343679,13263,121,0,628.0
9gh5WXUIwo4,3081,166,3,0,12.0
4aL3QBBuAhg,1998,161,5,0,54.0
WWvr7RFHvQk,3394,151,4,0,10.0
VP2nTWqPnro,8962,417,6,0,62.0
biNm8F9MP6M,29152,440,24,0,69.0
Anq2ZcumEp0,6330,231,6,0,43.0
EfAUj3lvW3A,191995,6381,110,0,681.0
NQFwSJMgXZk,42016,855,52,0,66.0
npkr03Fq4HM,64624,2785,13,0,268.0
orPqQ4g691E,11377,608,15,0,44.0
xoan1IXgZrc,111676,4190,28,0,328.0
ipIwTyOqIzc,9776,245,25,0,70.0
