id,viewCount,likeCount,dislikeCount,commentCount,likeRatio %,commentRatio %
pDIsEZsalAo,7297086,203984,2242,7005,98.9,0.0960
Lc4SHa-O4T0,1409241,66772,653,2543,99.0,0.1805
x5-GweOYXtk,363146,8464,103,341,98.8,0.0939
jYBjcEVTSB8,295537,14672,137,723,99.1,0.2446
elWE2jqjwVc,19833,885,0,61,100.0,0.3076
69Vpk3VKXBE,1548522,29869,1032,922,96.7,0.0595
BdSnr_P4HzY,401040,16987,281,1473,98.4,0.3673
PNfsLB4THNk,78927,7407,46,215,99.4,0.2724
yiRlOeouS2k,762776,35682,364,1158,99.0,0.1518
EpxyGCVEpMs,2242691,83083,838,3975,99.0,0.1772
_SACMBFrZO4,847320,12204,404,532,96.8,0.0628
Av4NhUWQ-24,1590200,33339,425,0,98.7,0.0000
CtHo29Nx1c4,32830,650,19,69,97.2,0.2102
54_CFQTXZpM,1186716,17977,453,1363,97.5,0.1149
ujaZBcCsj58,11365,1593,5,154,99.7,1.3550
E-sDui4fcsc,464354,13739,191,943,98.6,0.2031
6W79YK-LIa0,39590,1483,17,145,98.9,0.3663
EzqIFVlRrMQ,686317,16928,250,836,98.5,0.1218
rv1Mz5NMlRQ,1706330,90451,1225,3162,98.7,0.1853
7_ay-K_Xy80,10035,322,6,71,98.2,0.7075
Fu2vKqnrlxE,739279,23554,609,1028,97.5,0.1391
vA-rXz_I1vs,272972,9043,190,313,97.9,0.1147
rGXi26QZqX8,14055,283,69,81,80.4,0.5763
qhna7SC7kuo,1915929,104500,1807,3720,98.3,0.1942
YiRF0J02qaU,8659,307,2,45,99.4,0.5197
cOkFKrVR9To,107023,6006,33,451,99.5,0.4214
xIU60H4BfeI,130559,10509,65,559,99.4,0.4282
7GI7vmcs5l4,802153,30177,300,1112,99.0,0.1386
Lo2Km8K06fU,458622,17883,211,690,98.8,0.1505
EO2q-OfToNE,472738,8412,529,441,94.1,0.0933
owUV3sWe3iE,88601,12399,80,54,99.4,0.0609
cmzKeL69DNM,4067,275,5,22,98.2,0.5409
es4DGH_fLL4,411718,10456,185,388,98.3,0.0942
OE8wAmrgNA8,19507,404,21,79,95.1,0.4050
DzV5msnrmFE,906655,18751,431,942,97.8,0.1039
2VXR8CajTbo,398787,12589,127,702,99.0,0.1760
E3p0KGp2Leg,1816,69,3,34,95.8,1.8722
pRn_iCDwEP8,801330,18045,380,701,97.9,0.0875
A9Onl9hi65M,2992,118,0,67,100.0,2.2393
pqcwGikgWJQ,909718,26435,1375,1153,95.1,0.1267
21eA9UwijBc,117942,3035,159,137,95.0,0.1162
FG-h-u3PCoY,21236,847,14,55,98.4,0.2590
